6-monthly,Cause of injury,State or territory,Calendar year,Breakdown value,Hospitalisations,Bed days,Breakdown type,Data level
Jan-Jun,Traffic,VIC,2013,0-7,61,155,Age group,State/Territory
Jan-Jun,Traffic,VIC,2013,17-25,849,2914,Age group,State/Territory
Jan-Jun,Traffic,VIC,2013,26-39,938,2998,Age group,State/Territory
Jan-Jun,Traffic,VIC,2013,40-64,1325,5415,Age group,State/Territory
Jan-Jun,Traffic,VIC,2013,65-74,278,1488,Age group,State/Territory
Jan-Jun,Traffic,VIC,2013,75+,286,1848,Age group,State/Territory
Jan-Jun,Traffic,VIC,2013,8-16,161,498,Age group,State/Territory
Jan-Jun,Traffic,QLD,2013,0-7,88,149,Age group,State/Territory
Jan-Jun,Traffic,QLD,2013,17-25,835,2345,Age group,State/Territory
Jan-Jun,Traffic,QLD,2013,26-39,843,3279,Age group,State/Territory
Jan-Jun,Traffic,QLD,2013,40-64,1245,5207,Age group,State/Territory
Jan-Jun,Traffic,QLD,2013,65-74,203,1390,Age group,State/Territory
Jan-Jun,Traffic,QLD,2013,75+,172,967,Age group,State/Territory
Jan-Jun,Traffic,QLD,2013,8-16,333,754,Age group,State/Territory
Jan-Jun,Traffic,WA,2013,0-7,41,61,Age group,State/Territory
Jan-Jun,Traffic,WA,2013,17-25,450,1881,Age group,State/Territory
Jan-Jun,Traffic,WA,2013,26-39,502,2346,Age group,State/Territory
Jan-Jun,Traffic,WA,2013,40-64,529,2686,Age group,State/Territory
Jan-Jun,Traffic,WA,2013,65-74,82,504,Age group,State/Territory
Jan-Jun,Traffic,WA,2013,75+,73,548,Age group,State/Territory
Jan-Jun,Traffic,WA,2013,8-16,125,451,Age group,State/Territory
Jan-Jun,Traffic,SA,2013,0-7,13,37,Age group,State/Territory
Jan-Jun,Traffic,SA,2013,17-25,209,1177,Age group,State/Territory
Jan-Jun,Traffic,SA,2013,26-39,244,1027,Age group,State/Territory
Jan-Jun,Traffic,SA,2013,40-64,356,1629,Age group,State/Territory
Jan-Jun,Traffic,SA,2013,65-74,63,858,Age group,State/Territory
Jan-Jun,Traffic,SA,2013,75+,94,766,Age group,State/Territory
Jan-Jun,Traffic,SA,2013,8-16,84,217,Age group,State/Territory
Jan-Jun,Traffic,TAS,2013,0-7,8,20,Age group,State/Territory
Jan-Jun,Traffic,TAS,2013,17-25,63,243,Age group,State/Territory
Jan-Jun,Traffic,TAS,2013,26-39,66,239,Age group,State/Territory
Jan-Jun,Traffic,TAS,2013,40-64,82,425,Age group,State/Territory
Jan-Jun,Traffic,TAS,2013,65-74,21,180,Age group,State/Territory
Jan-Jun,Traffic,TAS,2013,75+,15,185,Age group,State/Territory
Jan-Jun,Traffic,TAS,2013,8-16,23,92,Age group,State/Territory
Jan-Jun,Traffic,ACT,2013,17-25,56,188,Age group,State/Territory
Jan-Jun,Traffic,ACT,2013,26-39,81,369,Age group,State/Territory
Jan-Jun,Traffic,ACT,2013,40-64,116,528,Age group,State/Territory
Jan-Jun,Traffic,ACT,2013,65-74,25,148,Age group,State/Territory
Jan-Jun,Traffic,ACT,2013,8-16,10,58,Age group,State/Territory
Jan-Jun,Traffic,NT,2013,17-25,76,374,Age group,State/Territory
Jan-Jun,Traffic,NT,2013,26-39,70,561,Age group,State/Territory
Jan-Jun,Traffic,NT,2013,40-64,66,509,Age group,State/Territory
Jan-Jun,Traffic,NT,2013,65-74,10,64,Age group,State/Territory
Jan-Jun,Traffic,NT,2013,8-16,21,92,Age group,State/Territory
Jul-Dec,Traffic,NSW,2013,0-7,132,285,Age group,State/Territory
Jul-Dec,Traffic,NSW,2013,17-25,1352,4164,Age group,State/Territory
Jul-Dec,Traffic,NSW,2013,26-39,1327,4143,Age group,State/Territory
Jul-Dec,Traffic,NSW,2013,40-64,1984,8775,Age group,State/Territory
Jul-Dec,Traffic,NSW,2013,65-74,400,2459,Age group,State/Territory
Jul-Dec,Traffic,NSW,2013,75+,368,3162,Age group,State/Territory
Jul-Dec,Traffic,NSW,2013,8-16,390,1166,Age group,State/Territory
Jul-Dec,Traffic,VIC,2013,0-7,67,137,Age group,State/Territory
Jul-Dec,Traffic,VIC,2013,17-25,830,2085,Age group,State/Territory
Jul-Dec,Traffic,VIC,2013,26-39,990,2837,Age group,State/Territory
Jul-Dec,Traffic,VIC,2013,40-64,1280,5150,Age group,State/Territory
Jul-Dec,Traffic,VIC,2013,65-74,258,1166,Age group,State/Territory
Jul-Dec,Traffic,VIC,2013,75+,261,1900,Age group,State/Territory
Jul-Dec,Traffic,VIC,2013,8-16,200,475,Age group,State/Territory
Jul-Dec,Traffic,QLD,2013,0-7,129,273,Age group,State/Territory
Jul-Dec,Traffic,QLD,2013,17-25,885,2666,Age group,State/Territory
Jul-Dec,Traffic,QLD,2013,26-39,998,3422,Age group,State/Territory
Jul-Dec,Traffic,QLD,2013,40-64,1358,5445,Age group,State/Territory
Jul-Dec,Traffic,QLD,2013,65-74,223,1046,Age group,State/Territory
Jul-Dec,Traffic,QLD,2013,75+,183,1162,Age group,State/Territory
Jul-Dec,Traffic,QLD,2013,8-16,326,914,Age group,State/Territory
Jul-Dec,Traffic,WA,2013,0-7,29,207,Age group,State/Territory
Jul-Dec,Traffic,WA,2013,17-25,366,1750,Age group,State/Territory
Jul-Dec,Traffic,WA,2013,26-39,427,1759,Age group,State/Territory
Jul-Dec,Traffic,WA,2013,40-64,532,2906,Age group,State/Territory
Jul-Dec,Traffic,WA,2013,65-74,98,756,Age group,State/Territory
Jul-Dec,Traffic,WA,2013,75+,80,814,Age group,State/Territory
Jul-Dec,Traffic,WA,2013,8-16,141,557,Age group,State/Territory
